GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Acido Fólico (µg),Calcio (mg),Hierro (mg),sodio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
CEREALES SIN GRASA,Espaguetti crudo,20,g,20,20,70,2.9,0.3,15.0,0.1,11.4,8.0,0.7,1.6,ND,ND,ND
CEREALES SIN GRASA,Espaguetti integral cocido,1/3,taza,47,47,58,2.5,0.3,12.4,2.1,2.3,7.0,0.5,1.4,0.4,ND,ND
CEREALES SIN GRASA,Fécula de maíz,2,cucharada,16,16,60,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES SIN GRASA,Fécula de maíz de sabor,2,cucharada,16,16,60,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES SIN GRASA,Fetuccini crudo,20,g,20,20,70,2.7,0.5,14.1,0.6,3.9,4.3,0.6,3.2,0.6,ND,ND
CEREALES SIN GRASA,Fibra uno,1/2,taza,30,30,60,2.0,1.0,25.0,14.2,0.0,100.0,4.5,105.0,ND,ND,ND
CEREALES SIN GRASA,Fideo cocido,1/2,taza,20,20,74,2.5,0.2,15.0,0.1,5.0,5.4,0.3,0.4,ND,ND,ND
CEREALES SIN GRASA,Fideo con tomate deshidratado,2,cucharada,20,20,72,2.6,1.0,13.3,0.0,0.0,0.0,0.3,399.4,ND,ND,ND
CEREALES SIN GRASA,Fideo crudo,20,g,20,20,72,2.7,0.5,14.5,0.7,4.2,4.2,0.6,1.1,0.7,ND,ND
CEREALES SIN GRASA,Fideo seco deshidratado,2,cucharada,20,20,72,2.6,1.0,13.3,0.0,0.0,0.0,0.3,399.4,ND,ND,ND
CEREALES SIN GRASA,Fruitcake,1/2,rebanada,20,20,65,0.6,1.8,12.3,0.7,0.5,6.5,0.4,54.0,8.6,ND,ND
CEREALES SIN GRASA,Fusili cocido,1/3,taza,46,46,57,2.5,0.2,12.3,2.1,2.3,6.9,0.5,1.4,0.4,ND,ND
CEREALES SIN GRASA,Fusili crudo,20,g,20,20,70,2.9,0.3,15.0,0.1,11.4,8.0,0.7,1.6,ND,ND,ND
CEREALES SIN GRASA,Galleta barras de higo,1,pieza,16,16,56,0.6,1.2,11.3,0.7,2.0,10.0,0.5,56.0,ND,ND,ND
CEREALES SIN GRASA,Galleta de animalitos,6,pieza,15,15,68,1.1,2.1,11.3,0.2,2.1,6.4,0.4,59.5,3.4,ND,ND
CEREALES SIN GRASA,Galleta de manzana,1,pieza,15,15,50,0.5,0.0,12.0,0.5,0.0,0.0,0.0,30.0,7.0,ND,ND
CEREALES SIN GRASA,Galleta dulce,2,pieza,16,16,64,1.1,1.7,10.7,0.7,1.1,3.5,0.3,48.5,ND,ND,ND
CEREALES SIN GRASA,Galleta dulce sin relleno,2,pieza,16,16,64,1.5,1.7,10.7,0.7,1.1,3.5,0.3,48.5,ND,ND,ND
CEREALES SIN GRASA,Galleta maría,5,pieza,19,19,69,1.3,1.3,13.8,0.1,6.3,0.0,0.5,110.6,11.3,ND,ND
CEREALES SIN GRASA,Galletas para sopa,14,pieza,18,18,70,1.2,1.8,12.8,0.0,0.0,0.0,0.0,268.3,ND,ND,ND
CEREALES SIN GRASA,Galleta salada,4,pieza,16,16,69,1.4,2.1,11.2,0.0,1.1,7.8,0.3,176.0,ND,ND,ND
CEREALES SIN GRASA,Galleta salada integral,4,pieza,16,16,70,1.6,1.9,11.2,0.4,0.0,4.3,0.1,108.8,0.6,ND,ND
CEREALES SIN GRASA,Galleta salada molida,2 1/2,cucharada,15,15,65,1.3,2.0,10.5,0.0,1.1,7.4,0.2,165.0,ND,ND,ND
CEREALES SIN GRASA,Galleta de avena pasas,1 1/2,galletas,15,15,61,1.3,2.0,9.5,1.3,0.0,0.0,0.0,57.0,4.7,ND,ND
CEREALES SIN GRASA,Galletas de maíz horneadas sin grasa (salmas),3,pieza,18,18,64,1.4,0.6,13.0,1.4,0.0,0.0,0.0,67.9,ND,ND,ND
CEREALES SIN GRASA,Galletas Marías,5,galleta,19,19,69,1.3,1.3,13.8,0.1,6.3,0.0,0.5,110.6,11.3,ND,ND
CEREALES SIN GRASA,Galletas Marias azucaradas,4,galleta,16,16,63,1.0,1.5,11.5,0.1,32.8,0.0,2.2,98.0,3.5,ND,ND
CEREALES SIN GRASA,Gluten de trigo,3,cucharada,18,18,68,7.5,0.3,8.5,0.0,0.0,7.2,0.0,0.4,ND,ND,ND
CEREALES SIN GRASA,Granola baja en grasa,3,cucharada,18,18,70,1.5,1.1,14.4,1.1,36.7,7.0,0.7,44.1,4.4,ND,ND
CEREALES SIN GRASA,Granola con frura seca! baja en grasas,3,cucharada,18,18,69,1.3,0.8,14.4,1.0,0.0,6.5,0.5,68.7,6.2,ND,ND
CEREALES SIN GRASA,Habaneras Bran trigo entero,4,galleta,18,18,72,1.7,2.4,11.0,1.6,0.0,0.0,0.0,90.0,0.8,ND,ND
CEREALES SIN GRASA,habaneras Clásicas,4,galleta,18,18,75,1.8,1.7,13.1,0.6,0.0,0.0,1.6,128.7,0.3,ND,ND
CEREALES SIN GRASA,Habaneras integrales,4,galleta,18,18,69,1.9,1.6,11.9,1.5,0.0,0.0,1.7,83.7,0.3,ND,ND
CEREALES SIN GRASA,Harina,2 1/2,cucharada,20,20,73,2.1,0.2,15.3,0.5,5.3,3.0,0.9,0.5,0.3,ND,ND
CEREALES SIN GRASA,Harina blanca,2 1/2,cucharada,20,20,73,2.1,0.2,15.3,0.5,5.3,3.0,0.9,0.5,0.3,ND,ND
CEREALES SIN GRASA,Harina blanca refinada,20,g,20,20,73,2.1,0.2,15.3,0.5,5.3,3.0,0.9,0.5,0.3,ND,ND
CEREALES SIN GRASA,Harina de alforfón,2 1/2,cucharada,20,20,67,2.5,0.6,14.1,2.0,0.0,0.0,0.0,7.0,0.5,ND,ND
CEREALES SIN GRASA,Harina de amaranto,2,cucharada,19,19,68,2.7,1.0,11.9,1.3,0.0,0.0,0.0,0.2,ND,66.0,12.5
CEREALES SIN GRASA,Harina de arroz,2,cucharada,20,20,72,1.4,0.6,15.1,0.9,3.1,2.1,0.4,1.6,0.2,ND,ND
CEREALES SIN GRASA,Harina de arroz refinada,2,cucharada,20,20,75,1.2,0.3,16.3,0.5,0.9,2.0,0.1,0.0,ND,ND,ND
CEREALES SIN GRASA,Harina de cebada,2,cucharada,18,18,62,2.2,0.3,10.9,2.2,0.0,0.0,0.0,0.4,ND,ND,ND
CEREALES SIN GRASA,Harina de centeno ,2,cucharada,18,18,63,2.1,0.3,13.6,0.2,0.0,4.9,0.5,0.2,ND,ND,ND
CEREALES SIN GRASA,Harina de centeno integral,2 1/2,cucharada,20,20,65,2.8,0.5,13.8,4.5,12.0,11.3,1.3,0.2,ND,ND,ND
CEREALES SIN GRASA,Harina de maíz,2 1/2,cucharada,18,18,65,1.7,0.7,13.6,1.7,4.2,25.2,1.3,0.9,ND,ND,ND
CEREALES SIN GRASA,Harina de maíz nixtamalizada,2 1/2,cucharada,18,18,65,1.7,0.7,13.6,1.7,4.2,25.2,1.3,0.9,ND,ND,ND
CEREALES SIN GRASA,Harina de maíz para atole,2,cucharada,15,15,60,1.2,0.8,11.8,0.2,0.0,5.3,0.4,0.0,ND,ND,ND
CEREALES SIN GRASA,Harina de maíz para tamales,2,cucharada,14,14,62,1.4,0.7,12.7,0.1,0.0,19.4,0.5,0.1,ND,ND,ND
CEREALES SIN GRASA,Harina de papa,2,cucharada,19,19,66,1.5,0.1,15.0,1.1,9.6,6.3,3.2,6.5,ND,ND,ND
CEREALES SIN GRASA,Harina de trigo,2 1/2,cucharada,20,20,71,2.0,0.2,14.9,0.5,5.2,3.0,0.9,0.5,0.3,41.0,8.0
CEREALES SIN GRASA,Harina de trigo integral,2 1/2,cucharada,19,19,64,2.6,0.3,13.6,2.3,8.3,6.4,0.7,0.9,0.4,30.0,5.6
CEREALES SIN GRASA,Harina de trigo para panificación,2,cucharada,17,17,62,2.1,0.3,12.4,0.4,5.0,2.6,0.8,0.4,ND,ND,ND
CEREALES SIN GRASA,Harina de trigo para pasteleria,2 1/2,cucharada,17,17,62,1.4,0.1,13.3,0.3,3.3,2.3,1.2,0.3,ND,ND,ND
CEREALES SIN GRASA,Harina integral,2 1/2,cucharada,19,19,64,2.6,0.3,13.6,2.3,8.3,6.4,0.7,0.9,0.4,ND,ND
CEREALES SIN GRASA,Harina integral de centeno,2 1/2,cucharada,20,20,65,2.8,0.5,13.8,4.5,12.0,11.3,1.3,0.2,ND,ND,ND
CEREALES SIN GRASA,Harina integral de trigo,2 1/2,cucharada,19,19,64,2.6,0.3,13.6,2.3,8.3,6.4,0.7,0.9,0.4,ND,ND
CEREALES SIN GRASA,Harina nixtamalizada,2 1/2,cucharada,18,18,67,1.3,0.8,13.8,1.7,0.0,24.9,0.7,0.2,ND,ND,ND
CEREALES SIN GRASA,Harina para brownies,1 1/2,cucharada,13,13,60,0.7,2.3,9.0,0.0,0.0,0.0,0.2,36.6,6.3,ND,ND
CEREALES SIN GRASA,Harina para brownies baja en grasa,2,cucharada,18,18,61,0.9,1.2,12.6,0.5,0.0,0.0,0.5,56.1,8.4,ND,ND
CEREALES SIN GRASA,Harina para hot cakes,2,cucharada,18,18,61,1.7,0.2,13.3,0.5,1.5,6.0,0.8,243.6,1.9,ND,ND
CEREALES SIN GRASA,Harina para reposteria,2,cucharada,16,16,60,1.7,0.2,12.6,0.1,0.0,5.0,0.0,0.3,ND,ND,ND
CEREALES SIN GRASA,Harina para tamales,2,cucharada,14,14,62,1.4,0.7,12.7,0.1,0.0,19.4,0.5,0.1,ND,ND,ND
CEREALES SIN GRASA,Hilos de trigo entrelazados con miel maple y azúcar,9,pieza,20,20,69,1.6,0.3,16.0,1.9,0.0,6.4,6.1,0.4,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de 7 fibras,1/3,taza,20,20,70,2.8,0.3,15.4,2.8,0.0,13.9,0.5,10.6,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de arroz,1/2,taza,16,16,55,3.2,0.2,11.2,0.5,50.0,2.5,4.1,125.0,1.5,ND,ND
CEREALES SIN GRASA,Hojuelas de avena,1/3,taza,26,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,0.9,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de avena con maple,1/3,taza,26,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,0.9,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de avena endulzadas con miel y almendras,1/3,taza,14,14,59,1.1,1.2,11.3,0.7,0.0,5.1,3.8,87.3,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de avena instantaneas con pasas! dátiles y nueces. Preparado,1/4,taza,61,61,71,1.7,1.1,14.3,1.3,0.0,56.6,2.1,125.7,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de avena instantáneas con pasas y especieas. Preparado,1/4,taza,62,62,62,1.3,0.7,12.5,1.0,0.0,42.9,1.5,93.0,6.0,ND,ND
CEREALES SIN GRASA,Hojuelas de avena instantáneas con miel maple y azúcar morena. Preparado,1/4,taza,59,59,60,1.4,0.8,11.8,1.1,0.0,40.9,1.4,95.9,4.8,ND,ND
CEREALES SIN GRASA,Hojuelas de avena! fruta seca y nueces,1/4,taza,21,21,72,2.1,1.1,16.5,1.6,0.0,0.0,1.9,49.0,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de cereales con frutas secas,1/3,taza,18,18,70,1.3,1.0,14.0,1.0,33.3,83.3,1.5,110.0,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de maíz,3/4,taza,19,19,67,1.4,0.1,15.8,0.6,109.3,1.3,5.4,136.7,1.8,81.0,15.2
CEREALES SIN GRASA,Hojuelas de maíz azucaradas,1/3,taza,13,13,52,0.7,0.1,12.0,0.3,106.5,0.0,1.9,75.6,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de maíz y trigo con frutas y nueces,1/3,taza,18,18,70,1.3,1.0,14.0,1.0,33.3,83.3,1.5,110.0,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de papa para puré,20,g,20,20,71,1.7,0.1,16.2,1.3,9.2,5.4,0.2,20.8,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de salvado,1/3,taza,21,21,67,1.8,0.5,16.0,2.3,0.0,9.8,2.6,119.7,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de salvado con pasas,1/3,taza,19,19,66,1.1,0.4,15.8,1.4,0.0,6.7,1.6,73.2,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo,1/2,taza,18,18,59,1.8,0.3,14.1,0.3,0.0,7.2,0.8,180.6,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo con miel,1/2,taza,18,18,62,1.6,0.4,14.3,1.9,11.9,8.1,2.8,101.3,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo integral,1/2,taza,16,16,59,3.5,0.3,11.0,0.4,0.0,4.5,4.2,112.0,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo integral con frutos rojos,1/2,taza,16,16,57,1.9,0.2,12.5,0.5,0.0,9.5,4.1,110.0,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo integral con chispas de yogur,1/2,taza,19,19,64,2.1,0.1,14.7,3.4,0.0,12.0,1.5,78.3,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo integral con fibra extra,1/2,taza,26,26,50,3.8,1.2,26.0,16.9,0.0,1404.0,60.8,1612.0,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo integral con frutas y yogur,1/3,taza,15,15,57,1.0,0.4,11.6,0.4,0.0,3.3,2.1,63.9,ND,ND,ND
CEREALES SIN GRASA,Hojuelas de trigo negro,1/3,taza,59,59,54,2.0,0.4,11.7,1.6,0.0,4.2,0.5,2.5,ND,ND,ND
CEREALES SIN GRASA,Hojuelas fortificadas de trigo entero! almendras! nueces y miel,1/4,taza,15,15,58,1.5,1.3,11.4,1.3,24.9,39.9,1.7,75.5,ND,ND,ND
CEREALES SIN GRASA,Hojuelas avena instantánea con manzana y canela,1/3,taza,79,79,69,1.4,0.8,14.0,1.4,0.0,58.1,2.0,87.2,ND,ND,ND
CEREALES SIN GRASA,Hot cake,3/4,pieza,38,38,69,2.5,2.3,9.7,0.0,4.9,81.9,0.7,164.8,ND,67.0,25.1
CEREALES SIN GRASA,Lasagna cruda,20,g,20,20,68,1.9,0.1,14.6,0.4,5.0,5.2,0.4,0.4,ND,ND,ND
CEREALES SIN GRASA,Lasaña cocida,20,g,20,20,68,1.9,0.1,14.6,0.4,5.0,5.2,0.4,0.4,ND,ND,ND
CEREALES SIN GRASA,Macarrón cocido,1/3,taza,47,47,66,2.2,0.3,13.2,0.6,3.3,3.3,0.7,0.3,ND,ND,ND
CEREALES SIN GRASA,Macarrón crudo,20,g,20,20,68,1.9,0.1,14.6,0.4,5.0,5.2,0.4,0.4,ND,ND,ND
CEREALES SIN GRASA,Macarrón integral cocido,1/3,taza,47,47,58,2.5,0.3,12.4,1.3,2.3,7.0,0.5,1.3,ND,ND,ND
CEREALES SIN GRASA,Maicena,2,cucharada,16,16,60,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES SIN GRASA,Maicena sabor,2,cucharada,16,16,60,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES SIN GRASA,Maíz,20,g,20,18,67,2.2,0.9,13.0,2.2,0.0,1.5,0.4,0.2,ND,ND,ND
CEREALES SIN GRASA,Maíz amarillo,20,g,20,18,67,2.2,0.9,13.0,2.2,0.0,1.5,0.4,0.2,ND,53.0,9.8
CEREALES SIN GRASA,Maíz amarillo cocido,20,g,20,18,67,2.2,0.9,13.0,2.2,0.0,1.5,0.4,0.2,ND,ND,ND
CEREALES SIN GRASA,Maíz azul,20,g,20,18,67,1.5,0.8,13.7,2.2,0.0,29.3,0.5,0.2,ND,ND,ND
CEREALES SIN GRASA,Maíz blanco,20,g,20,18,67,2.2,0.9,13.0,2.2,0.0,1.5,0.4,0.2,ND,ND,ND
CEREALES SIN GRASA,Maíz blanco cocido,25,g,25,19,68,2.2,0.9,13.3,2.3,0.0,1.5,0.4,0.2,ND,59.0,11.1
CEREALES SIN GRASA,Maíz cacahuacintle,20,g,20,18,67,2.2,0.9,13.0,2.2,0.0,1.5,0.4,0.2,ND,ND,ND
CEREALES SIN GRASA,Maíz cacahuacintle,20,g,20,18,67,2.2,0.9,13.0,2.2,0.0,1.5,0.4,0.2,ND,ND,ND
CEREALES SIN GRASA,Maíz palomero,20,g,20,20,73,2.4,0.9,14.2,2.4,0.0,3.4,0.4,0.2,ND,ND,ND
CEREALES SIN GRASA,Maíz pozolero,1/3,taza,54,54,58,1.8,0.7,13.6,1.5,0.0,1.1,0.3,9.2,ND,ND,ND
CEREALES SIN GRASA,Maizena,2,cucharada,16,16,60,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES SIN GRASA,Malanga,70,g,70,60,67,0.9,0.1,15.9,2.5,13.2,25.9,0.3,6.6,ND,ND,ND
CEREALES SIN GRASA,Marias cerealé fresa,1 1/2,pieza,15,15,66,1.1,2.1,10.7,ND,ND,ND,ND,63.8,ND,ND,ND
CEREALES SIN GRASA,Masa de maíz,45,g,45,45,69,1.6,0.9,14.3,1.5,0.0,31.5,0.7,0.0,ND,ND,ND
CEREALES SIN GRASA,Masa de maíz amarillo,35,g,35,35,66,1.5,0.8,13.5,1.2,0.0,30.8,0.6,0.0,ND,ND,ND
CEREALES SIN GRASA,Masa de maíz blanco,45,g,45,45,69,1.6,0.9,14.3,1.5,0.0,31.5,0.7,0.0,ND,ND,ND
CEREALES SIN GRASA,Masa pasa tortillas,45,g,45,45,69,1.6,0.9,14.3,1.5,0.0,31.5,0.7,0.0,ND,ND,ND
CEREALES SIN GRASA,Masa Yucatán,40,g,40,40,69,1.8,0.5,14.6,1.4,0.0,36.0,0.8,0.0,ND,ND,ND
CEREALES SIN GRASA,Media noche,1/2,pieza,22,22,55,2.0,1.0,10.5,0.5,0.0,10.0,0.5,105.0,1.5,ND,ND
CEREALES SIN GRASA,media noche con ajonjoli,1/2,pieza,22,22,55,2.0,1.0,10.5,0.5,0.0,10.0,0.5,105.0,1.5,ND,ND
CEREALES SIN GRASA,Mijo cocido,1/3,taza,57,57,68,2.0,0.6,13.6,0.8,0.0,1.6,0.4,1.0,0.1,ND,ND
CEREALES SIN GRASA,Mijo crudo,15,g,15,15,57,1.7,0.6,10.9,1.3,0.0,1.2,0.5,0.8,ND,ND,ND
CEREALES SIN GRASA,Mueslix con manzana y almendra,1/4,taza,18,18,68,1.7,1.6,13.2,1.5,0.0,11.1,1.5,87.1,3.0,ND,ND
CEREALES SIN GRASA,Nixtamal,45,g,45,45,69,1.6,0.9,14.3,1.5,0.0,31.5,0.7,0.0,ND,ND,ND
CEREALES SIN GRASA,Nutritas variedad de sabores,1/2,bolsita,17,17,67,1.4,1.4,12.3,0.5,0.0,0.0,0.0,99.0,0.5,ND,ND
CEREALES SIN GRASA,Ñame,100,g,100,86,66,1.9,0.1,15.1,0.4,19.8,11.2,0.4,7.7,ND,ND,ND
CEREALES SIN GRASA,Palanqueta de amaranto,1/2,pieza,20,20,72,3.2,1.7,16.6,0.6,0.0,0.0,0.0,0.0,11.2,ND,ND
CEREALES SIN GRASA,Palanqueta de amaranto con pasas,1/3,pieza,13,13,52,1.0,ND,11.2,ND,ND,ND,ND,0.0,ND,ND,ND
CEREALES SIN GRASA,Palitos de pan,3,pieza,18,18,74,2.2,1.7,12.3,0.5,5.4,3.6,0.8,117.9,ND,ND,ND
CEREALES SIN GRASA,Palomitas,2 1/2,taza,18,18,70,3.5,0.0,14.0,3.5,0.0,0.0,0.0,140.0,ND,55.0,9.6
CEREALES SIN GRASA,Palomitas acarameladas,1/2,taza,18,18,76,0.7,2.3,13.9,0.9,0.5,7.5,0.3,36.0,6.9,ND,ND
CEREALES SIN GRASA,Palomitas acarameladas sin grasa,3/4,taza,19,19,69,1.7,0.0,10.0,0.0,0.0,0.0,0.0,131.3,0.6,ND,ND
CEREALES SIN GRASA,Palomitas fat free,2 1/2,taza,18,18,70,3.5,0.0,14.0,3.5,0.0,0.0,0.0,140.0,ND,ND,ND
CEREALES SIN GRASA,Palomitas naturales,2 1/2,taza,18,18,70,3.5,0.0,14.0,3.5,0.0,0.0,0.0,140.0,ND,ND,ND
CEREALES SIN GRASA,Palomitas sin grasa,2 1/2,taza,18,18,70,3.5,0.0,14.0,3.5,0.0,0.0,0.0,140.0,ND,ND,ND
CEREALES SIN GRASA,Pambazo,1/2,pieza,25,25,67,2.5,1.0,12.5,1.5,0.0,10.5,0.3,142.3,1.0,ND,ND
CEREALES SIN GRASA,Pan 5 granos,1,rebanada,25,25,62,2.4,2.1,9.6,1.6,0.0,0.0,0.0,83.0,ND,ND,ND
CEREALES SIN GRASA,Pan 7 granos,1,rebanada,26,26,65,2.6,1.0,12.1,1.7,12.0,24.0,0.9,127.0,ND,55.0,14.3
CEREALES SIN GRASA,Pan ácimo,1/3,pieza,20,20,57,1.3,1.0,11.1,0.5,2.0,16.2,0.5,78.9,ND,ND,ND
CEREALES SIN GRASA,Pan árabe,1/3,pieza,20,20,54,1.8,0.2,11.0,0.4,0.0,17.0,0.5,106.1,0.3,ND,ND
CEREALES SIN GRASA,Pan árabe integral,1/3,pieza,21,21,56,2.1,0.6,1.6,1.6,7.3,3.3,0.6,112.2,ND,ND,ND
CEREALES SIN GRASA,Pan bagel dulce,1/3,pieza,23,23,64,2.3,0.4,12.9,0.5,5.0,4.3,0.9,75.6,ND,ND,ND
CEREALES SIN GRASA,Pan bagel integral,1/3,pieza,23,23,60,2.5,0.3,12.5,0.8,0.0,0.0,0.0,118.8,ND,ND,ND
CEREALES SIN GRASA,Pan bagel salado,1/3,pieza,23,23,64,2.5,0.4,12.5,0.5,5.3,17.5,0.8,125.1,ND,ND,ND
CEREALES SIN GRASA,Pan baguette,1/7,pieza,27,27,72,2.2,1.0,13.4,0.6,9.7,29.2,0.8,145.8,1.0,ND,ND
CEREALES SIN GRASA,Pan birote,1/3,pieza,22,22,67,2.1,0.0,14.1,0.1,0.0,9.1,0.3,123.3,ND,ND,ND
CEREALES SIN GRASA,Pan blanco,1,rebanada,27,27,71,2.2,0.8,13.6,0.5,27.8,101.3,1.1,149.9,ND,70.0,18.9
CEREALES SIN GRASA,Pan centeno,3/4,rebanada,24,24,62,2.0,0.8,11.6,1.4,12.0,17.3,0.7,158.3,ND,41.0,9.8
CEREALES SIN GRASA,pan con salvado,3/4,rebanada,27,27,67,2.4,0.9,12.9,1.1,6.8,20.3,0.8,131.3,ND,ND,ND
CEREALES SIN GRASA,Pan de 5 granos,1,rebanada,25,25,62,2.4,2.1,9.6,1.6,0.0,0.0,0.0,83.0,ND,ND,ND
CEREALES SIN GRASA,Pan de 7 granos,1,rebanada,26,26,65,2.6,1.0,12.1,1.7,12.0,24.0,0.9,127.0,ND,55.0,14.3
CEREALES SIN GRASA,Pan de avena,1,rebanada,30,30,71,3.1,1.3,11.9,1.3,6.8,20.0,0.9,122.0,ND,47.0,14.1
CEREALES SIN GRASA,Pan de caja,1,rebanada,27,27,71,2.2,0.8,13.6,0.5,0.0,101.3,1.1,149.9,ND,70.0,18.9
CEREALES SIN GRASA,Pan de caja integral,1,rebanada,25,25,67,2.4,1.0,12.6,1.1,12.0,78.0,1.0,145.8,ND,54.0,13.5
CEREALES SIN GRASA,Pan de centeno y comino,1,rebanada,20,20,55,1.7,0.5,11.0,0.3,8.0,0.0,0.0,140.0,ND,41.0,8.2
CEREALES SIN GRASA,Pan de centeno y trigo,1,rebanada,28,28,73,2.6,0.2,15.0,0.1,27.8,10.6,0.8,156.0,ND,41.0,11.5
CEREALES SIN GRASA,Pan de girasol integral,1,pieza,25,25,57,2.1,1.4,9.7,1.1,29.0,0.0,0.0,90.5,ND,57.0,14.3
CEREALES SIN GRASA,Pan de hambueguesas chico,1/2,pieza,26,26,67,2.5,1.1,12.9,0.7,0.0,26.5,0.7,111.5,1.9,ND,ND
CEREALES SIN GRASA,Pan de hot dog,1/2,pieza,22,22,55,2.0,1.0,10.5,0.5,0.0,10.0,0.5,105.0,1.5,ND,ND
CEREALES SIN GRASA,Pan de hot dog con ajonjoli,1/2,pieza,22,22,55,2.0,1.0,10.5,0.5,0.0,10.0,0.5,105.0,1.5,ND,ND
CEREALES SIN GRASA,pan de jengibre,1,rebanada,25,25,72,0.9,2.2,11.9,0.0,0.0,18.8,0.5,115.6,6.3,ND,ND
CEREALES SIN GRASA,Pan de miel y avena,1,rebanada,28,28,71,3.0,1.1,12.7,0.9,0.0,19.0,1.0,140.0,ND,ND,ND
CEREALES SIN GRASA,Pan de plátano,3/4,rebanada,21,21,68,0.9,2.2,11.5,0.2,0.0,4.4,0.3,63.4,ND,ND,ND
CEREALES SIN GRASA,Pan de trigo con arroz,3/4,rebanada,21,21,59,1.4,1.5,10.2,0.0,0.0,14.7,0.4,85.5,ND,ND,ND
CEREALES SIN GRASA,Pan integral,1,rebanada,25,25,67,2.4,1.0,12.6,1.1,29.0,78.0,1.0,145.8,ND,54.0,13.5
CEREALES SIN GRASA,Pan matza,1/2,pieza,14,14,56,1.4,0.2,119,0.5,2.0,2.0,0.5,0.5,ND,ND,ND
CEREALES SIN GRASA,Pan melba,3,pieza,15,15,60,1.8,0.6,11.4,0.9,3.0,15.0,0.6,123.0,ND,70.0,10.5
CEREALES SIN GRASA,Pan molido,8,cucharadita,16,16,66,2.1,1.0,11.8,0.3,0.0,6.2,0.2,95.8,ND,ND,ND
CEREALES SIN GRASA,Pan negro,1,rebanada,26,26,69,2.1,0.5,15.2,0.3,0.0,12.7,2.4,144.8,ND,47.0,12.2
CEREALES SIN GRASA,Pan negro con trigo,1,rebanada,25,25,65,2.0,0.5,14.6,0.3,0.0,0.0,0.0,0.0,ND,47.0,11.8
CEREALES SIN GRASA,Pan para hambuerguesa chico,1/2,pieza,26,26,67,2.5,1.1,12.9,0.7,0.0,26.5,0.7,111.5,1.9,ND,ND
CEREALES SIN GRASA,Pan para hambuerguesa grande,1/3,pieza,25,25,65,2.4,1.1,12.5,0.6,0.0,25.7,0.7,108.2,1.8,ND,ND
CEREALES SIN GRASA,Pan para pambazo,1/2,pieza,25,25,67,2.5,1.0,12.5,1.5,0.0,10.5,0.3,142.3,1.0,ND,ND
CEREALES SIN GRASA,"Pan tipo ""english miffin""",1/2,pieza,29,29,67,2.2,0.5,13.1,0.8,10.5,49.5,0.7,132.0,ND,77.0,21.9
CEREALES SIN GRASA,Pan tipo media noche,1/2,pieza,22,22,55,2.0,1.0,10.5,0.5,0.0,10.0,0.5,105.0,1.5,ND,ND
CEREALES SIN GRASA,Pan tostado,1,rebanada,15,15,64,1.6,1.2,11.8,0.1,0.0,13.5,0.9,88.1,2.2,ND,ND
CEREALES SIN GRASA,Panqué fat-free,1/2,rebanada,25,25,71,1.4,0.3,15.3,0.3,17.5,10.8,0.5,85.3,8.6,ND,ND
CEREALES SIN GRASA,Papa al horno con cáscara,1/2,pieza,78,78,73,1.5,0.1,16.8,1.2,7.0,3.9,0.3,3.9,1.3,60.0,46.8
CEREALES SIN GRASA,Papa al horno sin cáscara,1/2,pieza,78,78,73,1.6,0.1,16.8,1.2,7.0,4.0,0.3,4.0,1.4,ND,ND
CEREALES SIN GRASA,Papa cocida,1/2,pieza,68,68,59,1.3,0.1,13.7,1.2,7.1,3.5,0.2,2.5,0.6,54.0,36.7
